,Unnamed: 0,设备编号,资产编号,设备名称,设备型号,设备规格,制造厂,出厂年月,使用部门,安装地点,立卡年月,启用年月,ABC分类,财务分类,原值(元),完好状态,当前管理状态,状态变动日期,使用年限(年),供货商,出厂编号,单价(元),设备属性,生产用途,责任人,备注
63,,5807050,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1099,14486.0,设备,生产,,
64,,5807049,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1092,14486.0,设备,生产,,
65,,5807048,,气体保护焊机,YD-500FR2,60-550A,唐山松下产业机器有限公司,2021-09,赤壁子公司,产业园006,2021-11,2021-11,B,,14486.0,完好,在用, ,0,武汉开元松下焊机销售有限公司,16721G1076,14486.0,设备,生产,,
73,,9002012,环保,除尘式砂轮机,MC3025,∮250,杭州临安西湖砂轮机厂,2021-08,赤壁子公司,,2021-09,2021-10,C,,5970.0,完好,在用, ,5,黄石意能有成商贸有限公司,1231,5970.0,设备,生产,,
74,,9002011,环保,除尘式砂轮机,MC3040,∮400,杭州临安西湖砂轮机厂,2021-08,赤壁子公司,,2021-09,2021-10,C,,9890.0,完好,在用, ,5,黄石意能有成商贸有限公司,6165,9890.0,设备,生产,,
75,,5804510,,逆变式直流手工弧焊机,ZX7-315D,220/380V,深圳市佳士科技股份有限公司,2020-07,赤壁子公司,,2021-10,2021-10,C,,2350.0,完好,在用, ,5,湖北浩德商贸有限公司,12A7K314...1960041,2350.0,设备,生产,,
76,,5804509,,逆变式直流手工弧焊机,ZX7-315D,220/380V,深圳市佳士科技股份有限公司,2020-07,赤壁子公司,,2021-10,2021-10,C,,2350.0,完好,在用, ,5,湖北浩德商贸有限公司,12A7K314...1960207,2350.0,设备,生产,,
79,,5829029,,数控激光切割机,FIBERGRAPH-5060Z,6KW，穿孔板厚2-25mm,小池酸素（唐山）有限公司,2021-06,赤壁子公司,产业园001车间,2021-09,2021-09,A,其他专用设备,3090000.0,完好,在用, ,12,小池酸素（唐山）有限公司,FG-A-T1010,3090000.0,设备,生产,,
105,,9099015,,割草机,GXV160,,美国本田汽车公司股份有限公司,2021-03,赤壁子公司,,2021-07,2021-07,C,,9750.0,完好,在用, ,0,黄石意能有成商贸有限公司,0621944,9750.0,设备,非生产,,
106,,9099014,,割草机,GXV160,,美国本田汽车公司股份有限公司,2021-03,赤壁子公司,,2021-07,2021-07,C,,9750.0,完好,在用, ,0,黄石意能有成商贸有限公司,0621951,9750.0,设备,非生产,,
107,,8002012,,水平回转弧焊机器人,GLHZ21-05/2T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,793000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021004,793000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
108,,8002011,,水平回转弧焊机器人,GLHZ21-05/2T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,793000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021003,793000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
109,,8002010,,水平回转弧焊机器人,GLHZ21-05/2T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,793000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021002,793000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
110,,8002009,,水平回转弧焊机器人,GLHZ21-05/2T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,793000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021001,793000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
111,,8002008,,直线行走弧焊机器人,GLHZ21/H3T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,1218000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021006,1218000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
112,,8002007,,直线行走弧焊机器人,GLHZ21/H3T/2,500A,林肯电气管理（上海）有限公司,2021-05,赤壁子公司,产业园002车间,2021-07,2021-07,B,,1218000.0,完好,在用, ,8,湖北吉盛永杰商贸有限公司,2021005,1218000.0,设备,生产,,"发那科弧焊机器人M-10iD/8L 臂展2028mm,6轴，8kg.林肯500A焊接电源"
